,name,rating,volumes,date,url
0,Berserk,9.47,Manga (? vols),Aug 1989 -,https://myanimelist.net/manga/2/Berserk
1,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.30,Manga (24 vols),Jan 2004 - Apr 2011,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run
2,Vagabond,9.23,Manga (37 vols),Sep 1998 - May 2015,https://myanimelist.net/manga/656/Vagabond
3,One Piece,9.21,Manga (? vols),Jul 1997 -,https://myanimelist.net/manga/13/One_Piece
4,Monster,9.15,Manga (18 vols),Dec 1994 - Dec 2001,https://myanimelist.net/manga/1/Monster
5,Slam Dunk,9.08,Manga (31 vols),Sep 1990 - Jun 1996,https://myanimelist.net/manga/51/Slam_Dunk
6,Fullmetal Alchemist,9.04,Manga (27 vols),Jul 2001 - Sep 2010,https://myanimelist.net/manga/25/Fullmetal_Alchemist
7,Vinland Saga,9.04,Manga (? vols),Apr 2005 -,https://myanimelist.net/manga/642/Vinland_Saga
8,Grand Blue,9.03,Manga (? vols),Apr 2014 -,https://myanimelist.net/manga/70345/Grand_Blue
9,Oyasumi Punpun,9.02,Manga (13 vols),Mar 2007 - Nov 2013,https://myanimelist.net/manga/4632/Oyasumi_Punpun
10,Kingdom,9.00,Manga (? vols),Jan 2006 -,https://myanimelist.net/manga/16765/Kingdom
11,Houseki no Kuni,8.96,Manga (? vols),Oct 2012 -,https://myanimelist.net/manga/44489/Houseki_no_Kuni
12,20th Century Boys,8.95,Manga (22 vols),Sep 1999 - Apr 2006,https://myanimelist.net/manga/3/20th_Century_Boys
13,Ashita no Joe,8.94,Manga (20 vols),Jan 1968 - May 1973,https://myanimelist.net/manga/1303/Ashita_no_Joe
14,Monogatari Series: First Season,8.93,Light Novel (6 vols),Nov 2006 - Jul 2010,https://myanimelist.net/manga/14893/Monogatari_Series__First_Season
15,Real,8.92,Manga (? vols),Oct 1999 -,https://myanimelist.net/manga/657/Real
16,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.92,Manga (28 vols),May 2015 - Nov 2022,https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
17,Mikkakan no Koufuku,8.92,Novel (1 vols),Dec 2013 - Dec 2013,https://myanimelist.net/manga/126479/Mikkakan_no_Koufuku
18,Monogatari Series: Second Season,8.91,Light Novel (6 vols),Oct 2010 - Dec 2011,https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season
19,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.89,Light Novel (14 vols),May 2015 - Sep 2019,https://myanimelist.net/manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e
20,GTO,8.89,Manga (25 vols),Dec 1996 - Jan 2002,https://myanimelist.net/manga/336/GTO
21,Yotsuba to!,8.88,Manga (? vols),Mar 2003 -,https://myanimelist.net/manga/104/Yotsuba_to
22,3-gatsu no Lion,8.88,Manga (? vols),Jul 2007 -,https://myanimelist.net/manga/1224/3-gatsu_no_Lion
23,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.88,Light Novel (? vols),Jan 2020 -,https://myanimelist.net/manga/123992/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e__2-nensei-hen
24,Monogatari Series: Final Season,8.86,Light Novel (6 vols),Sep 2012 - Sep 2014,https://myanimelist.net/manga/44227/Monogatari_Series__Final_Season
25,Koe no Katachi,8.86,Manga (7 vols),Aug 2013 - Nov 2014,https://myanimelist.net/manga/56805/Koe_no_Katachi
26,Haikyuu!!,8.84,Manga (45 vols),Feb 2012 - Jul 2020,https://myanimelist.net/manga/35243/Haikyuu
27,Akatsuki no Yona,8.83,Manga (? vols),Aug 2009 -,https://myanimelist.net/manga/21525/Akatsuki_no_Yona
28,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.83,Manga (9 vols),Jan 2012 - Jun 2015,https://myanimelist.net/manga/34053/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_8__Twilight_of_the_Golden_Witch
29,Ookami to Koushinryou,8.83,Light Novel (? vols),Feb 2006 -,https://myanimelist.net/manga/9115/Ookami_to_Koushinryou
30,Kaze no Tani no Nausicaä,8.82,Manga (7 vols),Oct 1982 - Feb 1994,https://myanimelist.net/manga/651/Kaze_no_Tani_no_Nausicaä
